Shipment_ID,Origin_Hub,Destination_Hub,Carrier_ID,Departure_Timestamp,Arrival_Timestamp,Delivery_Status
SHP000136,HUB019,HUB003,CAR001,2023-03-21T05:00:00,2023-03-26T05:00:00,Delivered
SHP000137,HUB016,HUB015,CAR007,2023-05-20T06:00:00,2023-05-25T06:00:00,Delivered
SHP000138,HUB019,HUB016,CAR009,2023-12-08T09:00:00,2023-12-09T14:00:00,Delivered
SHP000139,HUB007,HUB005,CAR005,2023-05-29T10:00:00,2023-05-31T01:00:00,Delivered
SHP000140,HUB008,HUB018,CAR009,2023-12-09T11:00:00,2023-12-10T20:00:00,Delivered
SHP000141,HUB003,HUB012,CAR010,2023-08-08T18:00:00,2023-08-11T21:00:00,Delayed
SHP000142,HUB011,HUB006,CAR010,2023-08-24T22:00:00,2023-08-27T20:00:00,Delivered
SHP000143,HUB017,HUB003,CAR007,2023-06-08T23:00:00,2023-06-11T18:00:00,Delivered
SHP000144,HUB017,HUB018,CAR004,2023-06-28T11:00:00,2023-07-03T08:00:00,In Transit
SHP000145,HUB009,HUB007,CAR003,2023-11-05T04:00:00,2023-11-09T15:00:00,Delivered
SHP000146,HUB019,HUB020,CAR008,2023-12-15T18:00:00,2023-12-20T04:00:00,Delivered
SHP000147,HUB005,HUB016,CAR002,2023-08-29T14:00:00,2023-09-02T22:00:00,Delivered
SHP000148,HUB010,HUB016,CAR008,2023-01-20T01:00:00,2023-01-23T00:00:00,Delayed
SHP000149,HUB020,HUB017,CAR007,2023-08-25T18:00:00,2023-08-29T16:00:00,In Transit
SHP000150,HUB019,HUB007,CAR006,2023-11-06T15:00:00,2023-11-10T07:00:00,Delivered
SHP000151,HUB011,HUB003,CAR009,2023-11-27T05:00:00,2023-11-28T10:00:00,Delivered
SHP000152,HUB006,HUB013,CAR006,2023-05-25T12:00:00,2023-05-28T16:00:00,Delayed
SHP000153,HUB011,HUB003,CAR006,2023-02-18T17:00:00,2023-02-23T07:00:00,Delivered
SHP000154,HUB020,HUB005,CAR006,2023-02-11T18:00:00,2023-02-16T06:00:00,Delivered
SHP000155,HUB013,HUB005,CAR010,2023-12-29T02:00:00,2023-12-31T17:00:00,Delivered
SHP000156,HUB017,HUB003,CAR007,2023-09-18T11:00:00,2023-09-19T13:00:00,Delivered
SHP000157,HUB016,HUB007,CAR004,2023-03-12T04:00:00,2023-03-13T13:00:00,Delivered
SHP000158,HUB017,HUB002,CAR006,2023-11-13T04:00:00,2023-11-17T08:00:00,Delivered
SHP000159,HUB006,HUB016,CAR001,2023-07-30T11:00:00,2023-08-04T01:00:00,Delayed
SHP000160,HUB015,HUB008,CAR009,2023-05-03T09:00:00,2023-05-06T21:00:00,In Transit
SHP000161,HUB015,HUB016,CAR005,2023-07-15T16:00:00,2023-07-19T11:00:00,Delivered
SHP000162,HUB009,HUB002,CAR008,2023-07-10T17:00:00,2023-07-12T06:00:00,Delayed
SHP000163,HUB006,HUB010,CAR008,2023-09-20T04:00:00,2023-09-23T11:00:00,Delivered
SHP000164,HUB001,HUB015,CAR001,2023-07-22T16:00:00,2023-07-25T15:00:00,Delivered
SHP000165,HUB004,HUB012,CAR003,2023-03-12T01:00:00,2023-03-14T13:00:00,In Transit
SHP000166,HUB016,HUB015,CAR010,2023-01-03T02:00:00,2023-01-04T04:00:00,Delivered
SHP000167,HUB017,HUB014,CAR002,2023-05-28T07:00:00,2023-05-30T21:00:00,Delivered
SHP000168,HUB003,HUB005,CAR008,2023-11-02T17:00:00,2023-11-03T19:00:00,Delivered
SHP000169,HUB001,HUB013,CAR004,2023-10-20T13:00:00,2023-10-22T12:00:00,Delivered
SHP000170,HUB017,HUB019,CAR009,2023-09-17T17:00:00,2023-09-18T19:00:00,Delivered
SHP000171,HUB009,HUB001,CAR006,2023-02-04T11:00:00,2023-02-06T17:00:00,Delayed
SHP000172,HUB011,HUB005,CAR001,2023-06-30T17:00:00,2023-07-03T12:00:00,Delayed
SHP000173,HUB016,HUB006,CAR003,2023-02-02T22:00:00,2023-02-06T08:00:00,Delivered
SHP000174,HUB011,HUB010,CAR009,2023-07-23T17:00:00,2023-07-27T05:00:00,Delivered
SHP000175,HUB002,HUB012,CAR005,2023-03-05T11:00:00,2023-03-08T18:00:00,Delayed
SHP000176,HUB006,HUB017,CAR008,2023-07-08T16:00:00,2023-07-11T02:00:00,Delayed
SHP000177,HUB006,HUB019,CAR005,2023-06-14T03:00:00,2023-06-15T13:00:00,Delivered
SHP000178,HUB006,HUB016,CAR006,2023-08-17T01:00:00,2023-08-21T22:00:00,Delayed
SHP000179,HUB002,HUB004,CAR007,2023-07-06T16:00:00,2023-07-11T15:00:00,Delivered
SHP000180,HUB015,HUB002,CAR003,2023-02-04T07:00:00,2023-02-08T17:00:00,Delivered
SHP000181,HUB015,HUB012,CAR006,2023-08-16T02:00:00,2023-08-20T03:00:00,Delivered
SHP000182,HUB004,HUB001,CAR003,2023-09-13T16:00:00,2023-09-16T17:00:00,In Transit
SHP000183,HUB007,HUB011,CAR008,2023-04-13T03:00:00,2023-04-14T20:00:00,Delayed
SHP000184,HUB003,HUB012,CAR006,2023-12-30T02:00:00,2024-01-03T00:00:00,Delivered
SHP000185,HUB006,HUB013,CAR009,2023-04-25T03:00:00,2023-04-27T04:00:00,Delayed
SHP000186,HUB019,HUB012,CAR008,2023-10-10T04:00:00,2023-10-14T10:00:00,Delayed
SHP000187,HUB016,HUB018,CAR007,2023-07-29T18:00:00,2023-07-31T03:00:00,Delivered
SHP000188,HUB017,HUB012,CAR003,2023-10-10T20:00:00,2023-10-14T23:00:00,Delivered
SHP000189,HUB002,HUB005,CAR009,2023-03-20T09:00:00,2023-03-22T06:00:00,Delivered
SHP000190,HUB017,HUB010,CAR002,2023-05-09T06:00:00,2023-05-13T15:00:00,In Transit
SHP000191,HUB003,HUB018,CAR003,2023-10-31T18:00:00,2023-11-02T13:00:00,Delivered
SHP000192,HUB019,HUB002,CAR001,2023-02-11T01:00:00,2023-02-15T11:00:00,Delayed
SHP000193,HUB020,HUB001,CAR008,2023-11-18T17:00:00,2023-11-21T06:00:00,Delivered
SHP000194,HUB013,HUB010,CAR008,2023-02-07T22:00:00,2023-02-09T05:00:00,Delivered
SHP000195,HUB005,HUB012,CAR006,2023-06-26T12:00:00,2023-06-28T04:00:00,Delayed
SHP000196,HUB004,HUB010,CAR008,2023-05-07T04:00:00,2023-05-08T16:00:00,Delivered
SHP000197,HUB006,HUB012,CAR010,2023-06-10T06:00:00,2023-06-12T02:00:00,Delivered
SHP000198,HUB001,HUB004,CAR007,2023-09-16T14:00:00,2023-09-18T20:00:00,Delivered
SHP000199,HUB016,HUB010,CAR009,2023-01-05T03:00:00,2023-01-08T10:00:00,Delivered
SHP000200,HUB002,HUB014,CAR001,2023-10-19T17:00:00,2023-10-21T17:00:00,Delivered
SHP000201,HUB018,HUB009,CAR010,2023-12-15T19:00:00,2023-12-17T10:00:00,Delivered
SHP000202,HUB018,HUB012,CAR003,2023-04-12T19:00:00,2023-04-16T12:00:00,Delivered
SHP000203,HUB016,HUB018,CAR008,2023-03-18T19:00:00,2023-03-22T12:00:00,Delivered
SHP000204,HUB020,HUB010,CAR010,2023-06-22T16:00:00,2023-06-26T09:00:00,Delivered
SHP000205,HUB012,HUB011,CAR002,2023-08-02T18:00:00,2023-08-05T09:00:00,Delayed
SHP000206,HUB016,HUB009,CAR010,2023-10-23T07:00:00,2023-10-28T03:00:00,Delivered
SHP000207,HUB013,HUB005,CAR004,2023-01-17T18:00:00,2023-01-22T11:00:00,Delivered
SHP000208,HUB007,HUB015,CAR009,2023-11-10T15:00:00,2023-11-15T13:00:00,Delayed
SHP000209,HUB016,HUB018,CAR007,2023-06-10T05:00:00,2023-06-13T15:00:00,In Transit
SHP000210,HUB009,HUB017,CAR004,2023-05-07T08:00:00,2023-05-11T07:00:00,Delivered
SHP000211,HUB007,HUB017,CAR006,2023-09-03T11:00:00,2023-09-07T10:00:00,In Transit
SHP000212,HUB018,HUB013,CAR007,2023-06-26T04:00:00,2023-06-28T17:00:00,Delivered
SHP000213,HUB009,HUB017,CAR004,2023-04-14T17:00:00,2023-04-17T03:00:00,In Transit
SHP000214,HUB019,HUB008,CAR004,2023-01-26T21:00:00,2023-01-30T16:00:00,Delivered
SHP000215,HUB016,HUB004,CAR003,2023-01-03T17:00:00,2023-01-05T13:00:00,Delivered
SHP000216,HUB007,HUB011,CAR006,2023-05-27T20:00:00,2023-05-29T03:00:00,In Transit
SHP000217,HUB002,HUB007,CAR007,2023-04-01T01:00:00,2023-04-04T03:00:00,Delayed
SHP000218,HUB010,HUB002,CAR001,2023-06-02T18:00:00,2023-06-06T23:00:00,Delivered
SHP000219,HUB018,HUB017,CAR008,2023-03-10T16:00:00,2023-03-14T03:00:00,Delivered
SHP000220,HUB009,HUB006,CAR001,2023-06-22T09:00:00,2023-06-26T09:00:00,Delivered
SHP000221,HUB013,HUB015,CAR009,2023-06-17T02:00:00,2023-06-20T05:00:00,Delivered
SHP000222,HUB008,HUB001,CAR005,2023-07-16T07:00:00,2023-07-19T16:00:00,Delayed
SHP000223,HUB001,HUB010,CAR006,2023-12-21T07:00:00,2023-12-22T14:00:00,Delivered
SHP000224,HUB010,HUB004,CAR005,2023-07-08T19:00:00,2023-07-10T23:00:00,Delivered
SHP000225,HUB020,HUB012,CAR007,2023-12-26T17:00:00,2023-12-30T05:00:00,Delayed
SHP000226,HUB020,HUB003,CAR009,2023-08-17T16:00:00,2023-08-22T10:00:00,Delivered
SHP000227,HUB017,HUB007,CAR010,2023-10-02T04:00:00,2023-10-04T01:00:00,Delivered
SHP000228,HUB019,HUB016,CAR002,2023-09-19T14:00:00,2023-09-20T21:00:00,Delivered
SHP000229,HUB015,HUB010,CAR001,2023-07-22T08:00:00,2023-07-23T08:00:00,Delayed
SHP000230,HUB003,HUB019,CAR001,2023-02-05T15:00:00,2023-02-06T19:00:00,Delivered
SHP000231,HUB014,HUB012,CAR007,2023-08-18T12:00:00,2023-08-21T12:00:00,Delivered
SHP000232,HUB012,HUB004,CAR003,2023-10-03T12:00:00,2023-10-07T07:00:00,Delivered
SHP000233,HUB010,HUB016,CAR009,2023-08-06T17:00:00,2023-08-09T17:00:00,Delayed
SHP000234,HUB004,HUB002,CAR007,2023-11-11T00:00:00,2023-11-13T06:00:00,Delivered
SHP000235,HUB002,HUB009,CAR001,2023-07-25T14:00:00,2023-07-27T19:00:00,Delivered
SHP000236,HUB010,HUB008,CAR010,2023-06-13T18:00:00,2023-06-17T22:00:00,Delayed
SHP000237,HUB017,HUB008,CAR007,2023-06-03T08:00:00,2023-06-04T15:00:00,Delivered
SHP000238,HUB014,HUB019,CAR008,2023-01-25T11:00:00,2023-01-29T21:00:00,Delivered
SHP000239,HUB005,HUB011,CAR007,2023-04-05T17:00:00,2023-04-09T05:00:00,Delivered
SHP000240,HUB015,HUB002,CAR009,2023-07-31T13:00:00,2023-08-04T12:00:00,Delivered
SHP000241,HUB003,HUB016,CAR006,2023-02-17T17:00:00,2023-02-22T13:00:00,Delayed
SHP000242,HUB002,HUB004,CAR004,2023-10-28T23:00:00,2023-11-02T12:00:00,Delivered
SHP000243,HUB001,HUB008,CAR004,2023-03-02T23:00:00,2023-03-07T23:00:00,Delivered
SHP000244,HUB008,HUB019,CAR006,2023-05-25T12:00:00,2023-05-28T23:00:00,Delivered
SHP000245,HUB016,HUB015,CAR002,2023-08-29T10:00:00,2023-08-31T12:00:00,Delivered
SHP000246,HUB005,HUB001,CAR005,2023-10-11T18:00:00,2023-10-15T20:00:00,Delayed
SHP000247,HUB019,HUB008,CAR008,2023-10-09T20:00:00,2023-10-14T11:00:00,Delivered
SHP000248,HUB016,HUB015,CAR003,2023-06-30T05:00:00,2023-07-01T22:00:00,Delayed
SHP000249,HUB002,HUB018,CAR001,2023-02-08T21:00:00,2023-02-10T03:00:00,Delayed
SHP000250,HUB005,HUB001,CAR004,2023-09-16T14:00:00,2023-09-19T13:00:00,Delivered
SHP000251,HUB016,HUB001,CAR001,2023-09-30T17:00:00,2023-10-03T21:00:00,Delivered
SHP000252,HUB001,HUB018,CAR007,2023-04-02T03:00:00,2023-04-03T15:00:00,Delivered
SHP000253,HUB012,HUB009,CAR007,2023-02-10T11:00:00,2023-02-13T14:00:00,Delivered
SHP000254,HUB003,HUB002,CAR002,2023-07-27T12:00:00,,Delivered
SHP000255,HUB016,HUB014,CAR006,2023-10-17T03:00:00,2023-10-20T22:00:00,In Transit
SHP000256,HUB019,HUB016,CAR005,2023-01-24T02:00:00,2023-01-28T17:00:00,In Transit
SHP000257,HUB011,HUB001,CAR004,2023-10-28T04:00:00,2023-11-02T04:00:00,Delayed
SHP000258,HUB019,HUB008,CAR010,2023-07-19T21:00:00,2023-07-23T18:00:00,Delivered
SHP000259,HUB003,HUB018,CAR006,2023-01-28T03:00:00,2023-01-31T10:00:00,Delivered
SHP000260,HUB020,HUB013,CAR006,2023-01-16T20:00:00,2023-01-19T06:00:00,Delayed
SHP000261,HUB013,HUB015,CAR003,2023-12-15T18:00:00,2023-12-20T06:00:00,Delivered
SHP000262,HUB003,HUB004,CAR005,2023-03-20T12:00:00,2023-03-25T07:00:00,Delayed
SHP000263,HUB003,HUB001,CAR005,2023-08-16T11:00:00,2023-08-18T21:00:00,Delivered
SHP000264,HUB017,HUB014,CAR002,2023-01-14T02:00:00,2023-01-16T23:00:00,Delivered
SHP000265,HUB001,HUB011,CAR007,2023-07-18T02:00:00,2023-07-22T22:00:00,In Transit
SHP000266,HUB006,HUB014,CAR003,2023-03-13T08:00:00,2023-03-15T22:00:00,Delivered
