CA,54,413
CO,75,200
NC,21,280
LA,34,355
VA,6,211
CA,32,306
TX,93,215
FL,83,90
OH,40,5
FL,33,298
LA,77,433
OH,47,274
NC,20,76
TX,22,477
MO,70,333
TX,1,412
CA,34,337
TX,10,43
FL,34,20
AL,17,251
WI,20,45
FL,60,331
CA,59,281
MD,5,346
IN,75,479
NC,7,232
CA,91,404
AL,77,423
CA,56,216
CT,78,234
CA,76,381
TX,66,331
AL,81,70
KY,53,369
FL,78,177
TX,9,397
IL,48,269
TX,19,471
OR,84,59
DC,29,349
OK,95,226
IA,86,333
KS,22,381
GA,39,475
FL,10,339
TX,14,80
OH,22,424
OH,64,203
CA,19,426
KY,65,94
GA,24,156
NC,24,485
VA,47,442
VA,66,100
MN,41,110
NY,79,176
GA,60,48
TX,70,55
MA,27,102
VA,22,232
MD,30,278
CA,27,396
MI,79,69
NY,10,318
DC,13,394
VA,42,265
TX,84,60
AR,47,79
MD,59,96
CA,37,70
FL,99,205
OK,66,157
CA,64,18
MN,3,146
MO,88,464
MN,28,301
IN,91,224
LA,55,14
IL,35,68
WI,84,45
GA,55,353
NC,39,438
NY,84,486
FL,30,371
MA,71,237
NY,20,145
AZ,5,274
FL,86,368
CO,96,151
MN,88,32
WA,22,238
CO,2,237
MI,4,263
CA,95,36
PA,92,25
OK,77,319
GA,71,151
TX,72,406
CA,30,370
MA,97,447
OH,80,21
MI,49,152
MI,17,309
NH,69,187
AL,8,272
MD,74,106
IL,8,126
SC,32,391
AL,2,245
TX,34,465
SC,65,498
TX,97,300
ND,100,420
VA,87,426
OK,18,192
TX,72,253
CA,98,139
TX,98,487
WI,99,113
PA,91,106
FL,45,220
AR,23,393
UT,50,48
PA,59,158
PA,14,153
CO,67,479
MI,89,301
FL,18,423
GA,84,470
NC,22,382
AR,39,224
UT,84,16
NY,37,380
WV,9,227
TX,88,355
MI,30,448
MD,15,151
CA,20,199
WV,31,386
TN,25,361
KS,21,343
OH,100,170
CA,41,110
MO,93,160
MS,24,44
AZ,82,58
CO,32,132
AR,77,298
TX,95,267
LA,88,318
FL,91,158
CA,86,257
MD,9,78
FL,13,487
CA,75,461
NY,87,399
FL,75,86
CA,46,323
NC,78,458
AL,10,264
IN,94,124
OH,42,129
KS,74,36
GA,41,258
TX,30,365
AL,68,188
TX,42,443
OR,23,50
MA,4,332
TX,75,368
CO,52,22
WA,42,85
NV,25,98
KS,46,305
HI,48,419
MO,36,32
AZ,88,336
AL,53,480
NV,52,139
NH,32,52
WY,44,62
IL,49,54
FL,73,133
CA,61,10
TX,26,79
NV,34,423
TX,50,306
SC,6,268
CA,87,406
IA,6,66
HI,54,450
WI,23,219
CA,9,359
SC,68,22
DC,76,421
VA,79,278
WI,25,397
WA,70,219
TX,44,320
NY,42,103
PA,37,312
CA,23,373
TX,53,301
MN,84,332
WA,41,409
NE,44,351
TX,4,32
MN,22,130
UT,47,315
MA,46,431
NY,24,326
TX,4,282
MN,15,375
OH,39,313
KS,69,171
AR,91,156
NC,36,441
FL,85,468
NY,96,444
AZ,43,84
CA,43,154
OK,85,250
OH,5,417
FL,76,114
TX,89,297
AZ,41,329
FL,38,359
KY,27,498
FL,78,110
IN,49,16
CA,5,200
LA,51,322
OH,97,114
NY,23,1
OR,5,492
MI,17,201
MN,54,80
NY,50,167
HI,30,121
AZ,12,362
IN,8,166
LA,4,466
TX,67,184
GA,88,178
VA,49,168
MN,71,190
TX,74,160
IA,20,330
RI,38,399
TN,84,394
VA,10,315
VA,8,394
NE,10,334
VA,33,309
WI,7,485
CA,93,389
CO,87,165
WI,60,418
OH,23,221
TN,29,370
TX,13,82
FL,90,133
CT,11,221
TX,87,240
OH,13,422
DE,49,230
IL,41,473
NC,50,122
OH,46,66
GA,91,115
ND,9,174
TX,29,233
NY,89,405
TX,37,235
NC,88,489
NC,1,150
WI,5,86
OH,44,278
OH,69,202
FL,76,458
KS,88,99
VA,62,15
TX,42,318
OH,25,334
GA,27,372
TX,8,4
SD,36,72
AR,44,194
OR,34,52
NC,51,138
CA,40,78
MD,92,28
CA,83,390
KS,21,212
VA,26,39
NY,33,460
FL,67,205
IA,93,223
CO,96,378
NE,19,369
DC,28,84
SD,54,156
AL,66,242
MO,28,234
KS,17,208
DE,37,264
VA,81,244
FL,76,36
NC,54,300
AL,66,417
FL,67,324
WI,15,354
NV,60,178
CA,63,91
CA,51,483
IL,47,500
PA,44,287
NY,5,154
IL,51,284
FL,45,291
TX,75,159
WI,89,379
MA,66,217
LA,44,15
VA,55,79
LA,18,391
FL,99,170
KS,86,70
IN,45,295
CA,66,175
SC,72,80
CA,30,258
DC,29,393
WV,93,236
AZ,80,331
PA,17,248
CA,84,288
OH,37,9
AZ,74,117
TX,73,192
MA,14,56
OR,44,376
NY,53,362
IN,26,285
MA,40,295
OH,41,444
CA,12,317
OH,84,476
FL,12,226
IA,74,258
TX,68,174
TX,16,383
MI,47,234
LA,3,156
OH,49,395
CA,34,221
TX,42,296
IN,49,114
CA,7,11
OK,23,56
KS,90,381
MS,94,356
IN,6,298
IA,47,428
IN,14,418
PA,47,129
VA,84,398
IN,37,242
CT,84,78
MD,16,332
MN,8,84
CA,38,414
FL,16,35
AL,61,311
IL,65,429
LA,49,456
CA,5,190
MN,96,391
KY,34,190
TX,48,44
CO,52,174
FL,92,40
PA,76,292
FL,84,416
CO,56,87
NM,4,460
VA,95,282
AZ,59,73
MA,65,163
MD,25,70
MA,35,352
NJ,67,79
MI,18,389
NV,99,56
CA,51,115
SC,30,319
CA,83,108
PA,22,304
SC,22,385
WI,37,368
GA,100,219
IN,75,91
OH,79,179
FL,54,161
MS,98,210
FL,38,35
FL,62,450
VA,45,55
TX,90,336
CA,98,343
FL,82,272
TX,1,307
OH,12,84
CO,8,372
VA,56,483
HI,36,322
TX,81,419
TX,92,245
NJ,18,416
IA,88,326
KY,64,491
PA,44,194
AL,53,36
NJ,73,475
CA,19,183
VA,62,432
FL,97,68
PA,40,211
KS,98,447
MD,98,326
MI,18,223
CA,58,334
CO,87,168
LA,88,162
NJ,12,275
TX,36,453
CA,48,137
HI,19,365
AZ,73,119
VA,75,263
CA,45,29
TN,45,251
CA,82,119
LA,29,273
AL,14,136
AL,4,8
AZ,86,371
MT,58,463
IL,27,112
NY,96,136
OH,55,22
TX,88,299
AZ,63,446
CA,1,239
CA,96,102
GA,26,142
VA,82,233
TN,25,424
IN,28,436
OR,18,118
PA,57,146
DC,49,379
SD,8,67
TX,80,295
CA,61,239
GA,32,326
CA,70,238
WA,25,267
CO,94,66
MN,77,207
TX,29,277
NC,6,84
FL,94,339
NM,30,443
AL,74,423
OR,44,243
TN,84,18
AL,51,307
MN,85,178
CA,68,142
DC,43,379
TX,67,29
NY,18,460
TX,36,134
VA,75,141
CA,33,97
UT,89,323
KS,46,76
MI,73,206
CT,17,90
MA,71,108
TX,11,472
IA,60,446
TX,6,132
